epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,10726.6,1.02066,0.67881,1.03395,0.13848,0.20473,0.10134,0.02927,2.83176,2.66685,1.70417,0.00089141,0.00089141,0.00089141
21,11271.6,1.01631,0.67826,1.02823,0.14557,0.13985,0.12658,0.03723,2.73407,2.36229,1.60478,0.000863116,0.000863116,0.000863116
22,11821.5,1.0098,0.66815,1.02982,0.16765,0.14736,0.10808,0.03396,2.86652,2.8185,1.73427,0.000834822,0.000834822,0.000834822
23,12362,1.00842,0.66506,1.02436,0.14909,0.11644,0.10021,0.02798,2.86673,2.66457,1.68812,0.000806528,0.000806528,0.000806528
24,12902.5,0.99578,0.65717,1.02166,0.15235,0.13892,0.10755,0.03058,2.82024,2.56916,1.73318,0.000778233,0.000778233,0.000778233
25,13445,0.98892,0.65186,1.02229,0.17708,0.15139,0.14215,0.04522,2.59954,2.19317,1.57829,0.000749939,0.000749939,0.000749939
26,13986.4,0.97644,0.64572,1.01374,0.1755,0.13443,0.12428,0.03668,2.70201,2.15422,1.55171,0.000721645,0.000721645,0.000721645
27,14522.3,0.98164,0.64533,1.01728,0.17195,0.17162,0.13673,0.04159,2.6488,2.31035,1.56627,0.000693351,0.000693351,0.000693351
28,15058.5,0.96865,0.63365,1.0114,0.18744,0.17438,0.14759,0.04767,2.57347,2.42054,1.58458,0.000665057,0.000665057,0.000665057
29,15603.2,0.96528,0.63371,1.00881,0.149,0.08587,0.09604,0.03273,2.82158,2.93719,1.70101,0.000636762,0.000636762,0.000636762
30,16148.1,0.96693,0.63202,1.00996,0.15909,0.15619,0.13039,0.04128,2.7409,2.44685,1.65408,0.000608468,0.000608468,0.000608468
31,16700.5,0.95519,0.62294,1.00799,0.1513,0.16484,0.12552,0.0391,2.80239,2.43531,1.66369,0.000580174,0.000580174,0.000580174
32,17246.1,0.95216,0.62281,1.0077,0.12812,0.14981,0.11567,0.03697,2.67701,2.30458,1.59927,0.00055188,0.00055188,0.00055188
33,17790.7,0.94025,0.6145,0.99797,0.18277,0.11272,0.12391,0.04143,2.7467,2.83682,1.65168,0.000523586,0.000523586,0.000523586
34,18339.9,0.93879,0.60911,1.00041,0.175,0.17575,0.13702,0.04202,2.68902,2.44898,1.64255,0.000495291,0.000495291,0.000495291
35,18898.7,0.93747,0.6082,0.9993,0.13807,0.1189,0.10653,0.03611,2.72573,2.62734,1.65631,0.000466997,0.000466997,0.000466997
36,19440.7,0.92496,0.59659,0.99356,0.16176,0.13768,0.11131,0.03527,2.79602,2.77873,1.68103,0.000438703,0.000438703,0.000438703
37,19967.8,0.9171,0.59404,0.99144,0.14619,0.13981,0.11656,0.03722,2.71851,2.59114,1.65124,0.000410409,0.000410409,0.000410409
38,20495.8,0.91999,0.59157,0.99106,0.13039,0.12495,0.10533,0.03283,2.75245,2.75119,1.65144,0.000382115,0.000382115,0.000382115
39,21023.3,0.90669,0.58583,0.98753,0.15995,0.12591,0.11545,0.03795,2.71212,2.91656,1.6491,0.00035382,0.00035382,0.00035382
40,21549.9,0.90491,0.58201,0.98373,0.15039,0.10806,0.11219,0.03492,2.74347,2.92024,1.6213,0.000325526,0.000325526,0.000325526
41,22061.9,0.8468,0.52745,0.96462,0.14945,0.10923,0.09264,0.02881,2.9185,3.16092,1.78215,0.000297232,0.000297232,0.000297232
42,22573.3,0.83232,0.51731,0.95778,0.14446,0.1134,0.11558,0.03696,2.75159,2.67125,1.63441,0.000268938,0.000268938,0.000268938
43,23084,0.82019,0.51258,0.95611,0.16384,0.10672,0.10924,0.0358,2.79578,2.97992,1.67589,0.000240644,0.000240644,0.000240644
44,23595.2,0.81724,0.50844,0.95397,0.14358,0.09522,0.10449,0.03188,2.82252,2.94761,1.65773,0.000212349,0.000212349,0.000212349
45,24105.8,0.80754,0.49965,0.94964,0.06563,0.3429,0.0844,0.02647,2.98115,3.46211,1.75488,0.000184055,0.000184055,0.000184055
46,24616.9,0.80257,0.49647,0.9482,0.06014,0.2836,0.08105,0.02465,2.99456,3.38942,1.74835,0.000155761,0.000155761,0.000155761
47,25127.9,0.79802,0.49413,0.94615,0.12561,0.1053,0.09615,0.02963,2.86733,3.08162,1.67602,0.000127467,0.000127467,0.000127467
48,25638.6,0.79223,0.48703,0.9412,0.06807,0.35664,0.09801,0.02996,2.88787,3.13781,1.68024,9.91726e-05,9.91726e-05,9.91726e-05
49,26149.2,0.78197,0.48399,0.94239,0.06662,0.3158,0.09478,0.02936,2.87977,3.24883,1.7259,7.08784e-05,7.08784e-05,7.08784e-05
50,26659.5,0.77657,0.48181,0.93986,0.15087,0.09901,0.10394,0.03266,2.82435,3.08634,1.68743,4.25842e-05,4.25842e-05,4.25842e-05
